@relation emails_data

@attribute percent numeric
@attribute discount {0,1}
@attribute links {0,1}
@attribute size numeric
@attribute black_friday {0,1}
@attribute euro {0,1}
@attribute respect {0,1}
@attribute question numeric
@attribute order {0,1}
@attribute name {0,1}
@attribute sale numeric
@attribute capital_letters numeric
@attribute lowercase_letters numeric
@attribute num_of_files numeric
@attribute recipients {0,1}
@attribute exclamation numeric
@attribute file {0,1}
@attribute unsubscribe {0,1}
@attribute receipt {0,1}
@attribute forward {0,1}
@attribute photo {0,1}
@attribute letters numeric
@attribute thanks {0,1}
@attribute space numeric
@attribute period numeric
@attribute subject numeric
@attribute comma numeric
@attribute privacy_policy {0,1}
@attribute offer {0,1}
@attribute class {advertisement,non-advertisement}

@data
2,1,0,2728,0,1,0,1,0,0,0,403,1642,1,0,7,0,0,0,0,0,2728,0,333,30,75,15,0,0,advertisement
1,0,0,1680,0,1,0,1,0,1,1,101,595,1,0,2,0,1,0,0,0,1680,0,300,13,72,54,1,0,advertisement
11,0,1,3890,0,0,0,23,0,0,1,161,2037,1,0,0,0,1,0,0,0,3890,0,178,73,52,3,0,1,advertisement
1,0,1,1869,0,0,0,4,0,0,0,168,1096,1,0,1,0,1,0,0,0,1869,0,79,40,34,3,1,0,advertisement
3,1,0,1408,0,0,0,0,1,0,1,100,833,1,0,0,0,1,0,0,0,1408,0,195,20,27,18,1,1,advertisement
3,1,0,1470,0,0,0,0,1,0,1,106,874,1,0,0,0,1,0,0,0,1470,0,201,21,34,18,1,1,advertisement
4,1,1,3854,0,0,0,9,0,0,1,706,2035,1,0,2,0,0,0,0,0,3854,0,277,29,58,10,0,0,advertisement
1,1,1,1501,0,0,0,4,0,0,0,225,710,1,0,1,0,1,0,0,0,1501,0,43,27,61,1,0,0,advertisement
1,0,1,1838,0,0,0,4,0,0,0,158,1088,1,0,1,0,1,0,0,0,1838,0,78,38,37,3,1,0,advertisement
3,1,0,1414,0,0,0,0,1,0,1,100,838,1,0,0,0,1,0,0,0,1414,0,196,20,33,18,1,1,advertisement
1,0,1,1467,0,0,0,4,0,0,0,229,680,1,0,0,0,1,0,0,0,1467,0,40,27,29,1,0,0,advertisement
0,0,0,3011,0,0,0,21,0,1,0,255,1340,1,0,4,0,1,0,0,0,3011,0,208,78,88,48,1,1,advertisement
0,0,0,329,1,0,0,3,0,0,0,40,71,1,0,0,0,0,0,0,0,329,0,13,4,36,0,0,1,advertisement
147,1,1,7502,0,0,0,27,0,1,0,1630,4071,1,0,5,0,1,0,0,0,7502,0,251,132,35,10,1,1,advertisement
1,1,1,926,0,0,1,0,0,0,0,170,429,1,0,2,0,0,0,0,0,926,0,45,11,124,3,0,0,advertisement
1,0,1,3692,0,1,0,6,0,0,0,690,1697,1,0,0,0,1,0,0,0,3692,0,165,47,48,10,0,0,advertisement
2,1,0,1449,0,0,0,0,1,0,1,104,867,1,0,1,0,1,0,0,0,1449,0,195,21,42,16,1,1,advertisement
2,1,0,1394,0,0,0,0,1,0,1,99,832,1,0,1,0,1,0,0,0,1394,0,189,20,42,16,1,1,advertisement
1,0,0,333,1,0,0,3,0,0,0,32,78,1,0,0,0,0,0,0,0,333,0,15,4,40,0,0,1,advertisement
9,0,1,2010,0,0,0,2,0,1,1,346,824,1,0,0,0,1,0,0,0,2010,0,60,23,40,3,1,0,advertisement
3,1,0,1365,0,0,0,0,1,0,1,98,803,1,0,0,0,1,0,0,0,1365,0,188,20,32,16,1,1,advertisement
0,0,0,2883,0,0,0,20,0,1,0,263,1267,1,0,3,0,1,0,0,0,2883,0,202,72,90,46,1,0,advertisement
3,1,0,1428,0,0,0,0,1,0,1,109,837,1,0,0,0,1,0,0,0,1428,0,195,24,40,16,1,1,advertisement
0,0,1,4685,0,0,0,21,0,1,0,84,2373,1,0,4,0,1,0,0,0,4685,0,196,79,51,11,0,1,advertisement
4,0,1,4557,1,0,0,10,0,0,1,379,2028,1,0,4,0,0,0,0,0,4557,0,633,70,47,11,1,1,advertisement
3,0,1,4708,0,0,0,24,0,0,0,139,2205,1,0,0,0,0,0,0,0,4708,0,117,75,16,5,0,1,advertisement
1,0,0,2785,1,0,0,18,0,1,0,276,1246,1,0,4,0,1,0,0,0,2785,0,189,69,71,42,1,0,advertisement
1,1,0,2981,0,0,0,20,0,1,0,249,1370,1,0,5,0,1,0,0,0,2981,0,214,75,117,46,1,0,advertisement
0,0,1,1641,1,0,0,4,0,0,1,164,923,1,0,2,0,1,0,0,0,1641,0,81,32,46,3,1,0,advertisement
