percent,discount,links,size,black_friday,euro,respect,question,order,name,sale,capital_letters,lowercase_letters,num_of_files,recipients,exclamation,file,unsubscribe,receipt,forward,photo,letters,thanks,space,period,subject,comma,privacy_policy,offer,class
0,0,0,445,0,0,0,0,0,0,0,64,112,3,1,0,1,0,0,0,0,445,0,18,7,1,3,0,0,non-advertisement
0,0,1,907,0,0,0,2,0,0,0,68,432,1,0,0,1,0,0,0,0,907,0,32,12,11,2,0,0,non-advertisement
0,0,0,335,0,0,0,0,0,0,0,23,94,1,0,0,0,0,0,0,0,335,0,12,3,1,0,0,0,non-advertisement
3,0,0,6752,0,1,0,4,1,1,0,195,4297,1,0,2,0,0,0,0,0,6752,1,1170,66,49,38,0,0,non-advertisement
0,0,0,2272,0,1,0,0,0,0,0,87,1194,1,0,4,0,0,1,0,0,2272,1,427,15,30,10,0,0,non-advertisement
0,0,0,453,0,0,0,0,0,0,0,30,155,3,0,0,1,0,0,0,0,453,0,15,6,6,2,0,0,non-advertisement
0,0,0,915,0,0,0,0,0,0,0,51,488,5,0,0,1,0,0,0,0,915,0,82,12,19,11,0,0,non-advertisement
0,0,0,885,0,0,0,0,0,0,0,49,469,4,0,0,1,0,0,0,0,885,0,80,11,19,10,0,0,non-advertisement
0,0,0,1541,0,1,0,2,0,1,0,150,819,1,0,0,0,0,1,0,0,1541,0,170,27,39,7,0,0,non-advertisement
0,0,0,885,0,0,0,0,0,0,0,49,469,4,0,0,1,0,0,0,0,885,0,80,11,19,10,0,0,non-advertisement
0,0,0,2334,0,1,0,0,0,0,0,90,1232,1,0,4,0,0,1,0,0,2334,1,435,16,30,10,0,0,non-advertisement
0,0,0,335,0,0,0,0,0,0,0,23,94,1,0,0,0,0,0,0,0,335,0,12,3,1,0,0,0,non-advertisement
3,0,0,5567,0,1,0,4,1,1,0,165,3427,1,0,2,0,0,0,0,0,5567,1,982,49,47,30,0,0,non-advertisement
0,0,0,2282,0,1,0,0,0,0,0,89,1196,1,0,4,0,0,1,0,0,2282,1,429,15,30,10,0,0,non-advertisement
2,0,0,6983,0,1,0,4,1,1,0,198,4630,1,0,2,0,0,0,0,0,6983,1,1159,62,54,31,0,0,non-advertisement
0,0,0,1636,0,1,0,2,0,1,0,160,882,1,0,0,0,0,1,0,0,1636,0,180,30,39,6,0,0,non-advertisement
0,0,0,2251,0,1,0,0,0,0,0,85,1173,1,0,4,0,0,1,0,0,2251,1,427,16,29,10,0,0,non-advertisement
0,0,0,2253,0,1,0,0,0,0,0,86,1174,1,0,4,0,0,1,0,0,2253,1,426,16,29,10,0,0,non-advertisement
1,0,0,5460,0,1,0,4,1,1,0,134,3519,1,0,2,0,0,0,0,1,5460,1,952,49,49,27,0,0,non-advertisement
0,0,0,1636,0,1,0,2,0,1,0,162,882,1,0,0,0,0,1,0,0,1636,0,180,30,39,6,0,0,non-advertisement
2,0,0,5716,0,1,0,4,1,1,0,148,3606,1,0,2,0,0,0,0,0,5716,1,976,53,47,30,0,0,non-advertisement
0,0,0,773,0,0,0,0,0,0,0,48,377,4,0,0,1,0,0,0,0,773,0,64,10,19,8,0,0,non-advertisement
0,0,0,449,0,0,0,0,0,0,0,38,145,3,0,0,1,0,0,0,0,449,0,20,6,1,2,0,0,non-advertisement
0,0,0,803,0,0,0,0,0,0,0,50,396,5,0,0,1,0,0,0,0,803,0,66,11,19,9,0,0,non-advertisement
0,0,0,1632,0,1,0,2,0,1,0,162,877,1,0,0,0,0,1,0,0,1632,0,178,30,39,6,0,0,non-advertisement
0,0,0,803,0,0,0,0,0,0,0,50,396,5,0,0,1,0,0,0,0,803,0,66,11,19,9,0,0,non-advertisement
15,1,0,2313,0,0,0,0,0,1,0,188,1121,2,0,0,1,0,1,0,0,2313,0,161,17,14,69,0,0,non-advertisement
1,0,0,7376,0,1,0,4,0,1,0,278,4491,1,0,2,0,0,0,0,0,7376,1,1526,55,54,33,1,1,non-advertisement
0,0,0,803,0,0,0,0,0,0,0,50,396,5,0,0,1,0,0,0,0,803,0,66,11,19,9,0,0,non-advertisement
0,0,0,762,0,0,0,0,0,0,0,46,368,2,0,0,1,0,0,0,0,762,0,68,9,29,4,0,0,non-advertisement
0,0,0,1282,0,1,0,0,0,1,0,67,626,1,0,0,0,0,1,0,0,1282,0,263,13,21,8,1,0,non-advertisement
0,0,0,1287,0,1,0,0,0,1,0,64,630,1,0,0,0,0,1,0,0,1287,0,262,13,21,7,1,0,non-advertisement
0,0,0,398,0,0,0,0,0,0,0,39,109,1,0,0,1,0,0,0,0,398,0,11,3,31,0,0,0,non-advertisement
1,0,0,6918,0,1,0,4,1,1,0,194,4452,1,0,2,0,0,0,0,0,6918,1,1199,59,52,31,0,0,non-advertisement
0,0,0,803,0,0,0,0,0,0,0,50,396,5,0,0,1,0,0,0,0,803,0,66,11,19,9,0,0,non-advertisement
1,0,0,7529,0,1,0,4,1,1,0,222,4846,1,0,2,0,0,0,0,0,7529,1,1331,67,59,38,0,0,non-advertisement
0,0,0,1632,0,1,0,2,0,1,0,161,883,1,0,0,0,0,1,0,0,1632,0,178,30,39,6,0,0,non-advertisement
0,0,0,803,0,0,0,0,0,0,0,50,396,5,0,0,1,0,0,0,0,803,0,66,11,19,9,0,0,non-advertisement
0,0,1,2713,0,0,0,2,0,1,0,728,1317,1,0,0,0,0,1,0,0,2713,1,84,16,55,3,0,0,non-advertisement
0,0,1,2904,0,0,0,2,0,1,0,768,1397,1,0,0,0,0,1,0,0,2904,1,85,16,72,3,0,0,non-advertisement
0,0,1,2900,0,0,0,2,0,1,0,822,1369,1,0,0,0,0,1,0,0,2900,1,85,16,72,3,0,0,non-advertisement
0,0,0,1786,0,0,0,1,0,0,0,71,1194,5,0,0,1,0,0,0,0,1786,0,182,28,19,20,0,0,non-advertisement
2,0,0,2303,0,1,0,0,0,0,0,87,1197,1,0,4,0,0,1,0,0,2303,1,434,20,29,9,0,0,non-advertisement
0,0,1,815,0,0,0,2,0,0,0,55,415,1,0,0,1,0,0,0,0,815,0,27,12,18,3,0,0,non-advertisement
0,0,0,1679,0,1,0,2,0,1,0,168,912,1,0,0,0,0,1,0,0,1679,0,184,30,39,6,0,0,non-advertisement
0,0,0,1756,0,0,0,1,0,0,0,69,1175,4,0,0,1,0,0,0,0,1756,0,180,27,19,19,0,0,non-advertisement
0,0,0,1756,0,0,0,1,0,0,0,69,1175,4,0,0,1,0,0,0,0,1756,0,180,27,19,19,0,0,non-advertisement
0,0,0,762,0,0,0,0,0,0,0,46,368,2,0,0,1,0,0,0,0,762,0,68,9,29,4,0,0,non-advertisement
2,0,0,2303,0,1,0,0,0,0,0,88,1193,1,0,4,0,0,1,0,0,2303,1,434,20,29,9,0,0,non-advertisement
0,0,0,1705,0,0,0,1,0,0,0,71,1194,5,0,0,1,0,0,0,0,1705,0,182,28,19,20,0,0,non-advertisement
0,0,1,937,0,0,0,2,0,0,0,56,511,1,0,0,1,0,0,0,0,937,0,48,13,17,2,0,0,non-advertisement
0,0,0,401,0,0,0,0,0,0,0,70,80,1,0,0,1,0,0,0,0,401,0,16,3,1,0,0,0,non-advertisement
0,0,0,362,0,0,0,0,0,0,0,33,84,1,0,0,1,0,0,0,0,362,0,11,3,16,0,0,0,non-advertisement
0,0,0,543,0,0,0,0,0,1,0,37,181,1,0,0,1,0,0,1,0,543,0,28,10,5,2,0,0,non-advertisement
0,0,1,754,0,0,0,2,0,0,0,57,331,1,0,0,1,0,0,0,0,754,0,19,11,20,2,0,0,non-advertisement
0,0,1,1135,0,0,0,2,0,0,0,61,612,1,0,0,1,0,0,0,0,1135,0,100,16,15,2,0,0,non-advertisement
0,0,0,375,0,0,0,0,0,0,0,33,95,1,0,0,1,0,0,0,0,375,0,14,3,27,0,0,0,non-advertisement
