@relation 'Parkinsons-weka.filters.unsupervised.attribute.Remove-R1-4,6-13,15-17,19-24-weka.filters.unsupervised.attribute.NumericToNominal-R3'

@attribute 'MDVP:Jitter(\%)' numeric
@attribute MDVP:APQ numeric
@attribute status {0,1}

@data
0.00784,0.02971,1
0.00968,0.04368,1
0.0105,0.0359,1
0.00997,0.03772,1
0.01284,0.04465,1
0.00968,0.03243,1
0.00333,0.01351,1
0.0029,0.01256,1
0.00551,0.01717,1
0.00532,0.02444,1
0.00505,0.01892,1
0.0054,0.02214,1
0.00293,0.0114,1
0.0039,0.01797,1
0.00294,0.01246,1
0.00369,0.01359,1
0.00544,0.02074,1
0.00718,0.0343,1
0.00742,0.05767,1
0.00768,0.0431,1
0.0084,0.04055,1
0.0048,0.04525,1
0.00442,0.04246,1
0.00476,0.03772,1
0.00742,0.01497,1
0.00633,0.0378,1
0.00455,0.01872,1
0.00496,0.01826,1
0.0031,0.01661,1
0.00502,0.01799,1
0.00289,0.00802,0
0.00241,0.00762,0
0.00212,0.00951,0
0.0018,0.00719,0
0.00178,0.00726,0
0.00198,0.00957,0
0.00411,0.01612,1
0.00369,0.01491,1
0.00284,0.0119,1
0.00316,0.01366,1
0.00298,0.01233,1
0.00258,0.01234,1
0.00298,0.01133,0
0.00281,0.01251,0
0.0021,0.01033,0
0.00225,0.01014,0
0.00235,0.01149,0
0.00185,0.0086,0
0.00524,0.01433,0
0.00428,0.014,0
0.00431,0.01685,0
0.00448,0.01614,0
0.00436,0.01677,0
0.0049,0.01947,0
0.00761,0.02067,1
0.00874,0.02454,1
0.00784,0.02802,1
0.00752,0.01948,1
0.00788,0.02137,1
0.00867,0.02519,1
0.00282,0.01382,0
0.00264,0.0134,0
0.00266,0.012,0
0.00296,0.01179,0
0.00205,0.01016,0
0.00238,0.01234,0
0.00817,0.02428,1
0.00923,0.02603,1
0.01101,0.03392,1
0.00762,0.03635,1
0.00831,0.02949,1
0.00971,0.03736,1
0.00405,0.01345,1
0.00533,0.01956,1
0.00494,0.01831,1
0.00516,0.01715,1
0.005,0.02704,1
0.00462,0.01636,1
0.00608,0.02455,1
0.01038,0.02139,1
0.00694,0.02876,1
0.00702,0.0219,1
0.00606,0.01751,1
0.00432,0.01552,1
0.00747,0.0351,1
0.00406,0.02877,1
0.00321,0.02784,1
0.0052,0.04683,1
0.00448,0.04802,1
0.00709,0.03455,1
0.00742,0.05114,1
0.00419,0.0569,1
0.00459,0.03051,1
0.00382,0.04398,1
0.00358,0.02764,1
0.00369,0.02571,1
0.00342,0.02809,1
0.0128,0.03088,1
0.01378,0.03908,1
0.01936,0.05783,1
0.03316,0.06196,1
0.01551,0.05174,1
0.03011,0.06023,1
0.00248,0.01009,1
0.00183,0.00871,1
0.00257,0.01059,1
0.00168,0.00928,1
0.00258,0.01267,1
0.00174,0.00993,1
0.00766,0.02084,1
0.00621,0.01852,1
0.00609,0.01307,1
0.00841,0.01767,1
0.00534,0.01301,1
0.00495,0.01604,1
0.00856,0.01271,1
0.00476,0.01312,1
0.00555,0.01652,1
0.00462,0.01151,1
0.00404,0.01075,1
0.00581,0.01734,1
0.0046,0.01104,1
0.00704,0.0322,1
0.00842,0.01931,1
0.00694,0.0172,1
0.00733,0.01944,1
0.00544,0.02259,1
0.00638,0.02301,1
0.0044,0.00811,1
0.0027,0.00903,1
0.00492,0.01194,1
0.00407,0.0131,1
0.00346,0.00915,1
0.00331,0.00903,1
0.00589,0.03651,1
0.00494,0.03316,1
0.00451,0.0437,1
0.00502,0.04134,1
0.00472,0.04451,1
0.00381,0.0277,1
0.00571,0.02824,1
0.00757,0.04464,1
0.00376,0.0253,1
0.0037,0.01506,1
0.00254,0.02006,1
0.00352,0.01909,1
0.01568,0.08808,1
0.01466,0.06359,1
0.01719,0.06824,1
0.01627,0.0646,1
0.01872,0.06259,1
0.03107,0.13778,1
0.02714,0.08318,1
0.00684,0.02056,1
0.00692,0.02018,1
0.00647,0.02402,1
0.00727,0.01771,1
0.01813,0.02916,1
0.00975,0.02157,1
0.00605,0.03105,1
0.00581,0.04114,1
0.00619,0.02931,1
0.00651,0.03091,1
0.00519,0.01363,1
0.00907,0.02073,1
0.00277,0.01621,0
0.00303,0.00882,0
0.00339,0.01367,0
0.00803,0.01439,0
0.00517,0.01344,0
0.00451,0.01255,0
0.00355,0.0114,0
0.00356,0.01285,0
0.00349,0.01148,0
0.00353,0.01318,0
0.00332,0.01133,0
0.00346,0.01331,0
0.00314,0.0123,1
0.00309,0.01309,1
0.00392,0.01263,1
0.00396,0.02148,1
0.00397,0.01559,1
0.00336,0.01666,1
0.00417,0.01949,0
0.00531,0.01756,0
0.00314,0.01691,0
0.00496,0.01491,0
0.00267,0.01144,0
0.00327,0.01095,0
0.00694,0.01758,0
0.00459,0.02745,0
0.00564,0.01879,0
0.0136,0.01667,0
0.0074,0.01588,0
0.00567,0.01373,0
